VÉRTICE,LADO,DISTANCIA(m),ESTE(X),NORTE(Y)
P289,P289  -  P290,90.24,216434.2538,8268281.7100
P290,P290  -  P291,178.83,216362.2437,8268336.0880
P291,P291  -  P292,294.97,216316.4970,8268508.9711
P292,P292  -  P293,131.04,216068.3570,8268668.4546
P293,P293  -  P294,307.78,216009.2781,8268785.4184
P294,P294  -  P295,236.33,216110.6259,8269076.0388
P295,P295  -  P296,102.22,215937.3534,8269236.7550
P296,P296  -  P297,204.17,215851.0642,8269181.9620
P297,P297  -  P298,375.14,215654.6313,8269126.2836
P298,P298  -  P299,98.89,215279.5602,8269133.2820
P299,P299  -  P300,113.00,215182.8546,8269112.6240
P300,P300  -  P301,125.33,215115.3812,8269021.9849
P301,P301  -  P302,82.36,214992.6740,8268996.4920
P302,P302  -  P303,94.99,214920.0895,8269035.4123
P303,P303  -  P304,37.37,214908.5292,8269129.6938
P304,P304  -  P305,42.05,214911.9394,8269166.9090
P305,P305  -  P306,43.10,214922.1701,8269207.6908
P306,P306  -  P307,35.92,214918.6660,8269250.6470
P307,P307  -  P308,61.96,214909.6813,8269285.4258
P308,P308  -  P309,70.54,214868.2151,8269331.4617
P309,P309  -  P310,61.87,214826.8069,8269388.5733
P310,P310 - P311,79.54,214809.0706,8269447.8415
P311,P311  -  P312,128.10,214817.7520,8269526.9051
P312,P312  -  P313,140.60,214759.0342,8269640.7579
P313,P313  -  P314,112.37,214802.2690,8269774.5429
P314,P314  -  P315,37.47,214804.4370,8269886.8874
P315,P315  -  P316,68.94,214840.1665,8269898.1802
P316,P316  -  P317,117.08,214861.2710,8269832.5527
P317,P317  -  P318,81.40,214836.6331,8269718.0968
P318,P318  -  P319,70.76,214890.8913,8269657.4227
P319,P319  -  P320,89.52,214913.5985,8269590.4103
P320,P320  -  P321,50.20,214974.1055,8269524.4341
P321,P321  -  P322,36.92,215016.6703,8269497.8208
P322,P322  -  P323,50.39,215048.7215,8269479.5048
P323,P323  -  P324,25.39,215090.1398,8269450.8084
P324,P324  -  P325,11.47,215110.3749,8269435.4646
P325,P325  -  P326,8.75,215120.7233,8269430.5257
P326,P326 -  P327,9.72,215129.1174,8269432.9952
P327,P327  -  P328,17.84,215131.5911,8269442.3932
P328,P328  -  P329,48.05,215132.5641,8269460.2093
P329,P329 -  P330,16.21,215149.3357,8269505.2395
P330,P330  -  P331,16.57,215159.2058,8269518.0967
P331,P331  -  P332,11.09,215166.5940,8269532.9335
P332,P332 - P333,14.83,215166.2146,8269544.0211
P333,P333 -  P334,19.49,215158.8182,8269556.8783
P334,P334 -  P335,17.18,215166.7093,8269574.6944
P335,P335  -  P336,16.32,215170.1642,8269591.5207
P336,P336  -  P337,15.13,215179.5396,8269604.8778
P337,P337  -  P338,17.29,215182.4997,8269619.7146
P338,P338  -  P339,16.20,215192.8563,8269633.5616
P339,P339  -  P340,32.10,215201.2339,8269647.4286
P340,P340  -  P341,33.89,215223.9023,8269670.1518
P341,P341  -  P342,75.94,215240.1948,8269699.8673
P342,P342  -  P343,36.75,215287.5416,8269759.2444
P343,P343  -  P344,26.23,215315.1647,8269783.4792
P344,P344  -  P345,42.36,215331.4005,8269804.0748
P345,P345  -  P346,61.64,215368.2918,8269824.8903
P346,P346  -  P347,22.50,215422.0951,8269854.9639
P347,P347  -  P348,39.73,215444.3833,8269858.0433
P348,P348  -  P349,41.81,215479.8655,8269875.9210
P349,P349  -  P350,75.57,215515.1142,8269898.4068
P350,P350  -  P351,13.66,215582.1093,8269933.3789
P351,P351  -  P352,18.24,215583.0059,8269947.0079
P352,P352  -  P353,93.21,215566.4692,8269954.7126
P353,P353  -  P354,53.50,215551.4700,8270046.7124
P354,P354  -  P355,71.04,215514.4636,8270085.3536
P355,P355  -  P356,60.39,215484.5969,8270149.8098
P356,P356  -  P357,30.58,215480.2017,8270210.0366
P357,P357  -  P358,64.51,215477.4641,8270240.4899
P358,P358  -  P359,7.76,215485.5859,8270304.4860
P359,P359  -  P360,54.48,215492.6195,8270307.7753
P360,P360  -  P361,128.46,215545.4613,8270294.5337
P361,P361  -  P362,58.78,215583.2973,8270417.2986
